car	2	4856
car	2	4154
car	2	4070
car	2	4095
car	2	4135
car	2	4680
car	2	4702
van	2	4592
car	2	4100
car	2	4143
car	2	4466
van	2	4352
van	2	4574
car	2	4902
van	2	4012
car	2	4458
car	2	4886
truck	4	4680
van	2	4899
car	2	4855
car	2	4737
car	2	4140
car	2	4961
car	2	4148
car	2	4630
car	2	5003
car	2	4243
car	2	4023
car	2	4987
car	2	4755
truck	4	4079
car	2	4616
truck	4	4245
truck	4	4090
truck	4	4383
van	2	4449
car	2	4351
car	2	4159
car	2	4018
car	2	4827
van	2	4115
car	2	4102
car	2	4398
car	2	4918
car	2	4984
truck	4	4460
car	2	4326
van	2	4600
car	2	4735
car	2	4162
car	2	4012
car	2	4223
van	2	4990
car	2	4154
car	2	4913
truck	4	4388
car	2	4299
car	2	4725
car	2	4229
car	2	4354
car	2	4127
truck	4	4522
truck	4	4410
van	2	4689
car	2	4296
car	2	4303
car	2	4346
car	2	4253
van	2	5007
car	2	4534
car	2	4742
car	2	4944
car	2	4171
car	2	4750
car	2	4878
car	2	4274
car	2	4377
car	2	4265
car	2	4304
car	2	4797
truck	4	4061
truck	4	4085
car	2	4675
truck	4	4997
car	2	4241
car	2	4890
car	2	4537
car	2	4743
car	2	4026
car	2	4373
truck	4	4116
truck	4	4785
van	2	5002
car	2	4728
truck	4	4015
car	2	4817
truck	4	4857
car	2	4724
truck	4	4725
car	2	4591
truck	4	4792
car	2	4927
car	2	4397
truck	4	4195
truck	4	4336
truck	4	4520
car	2	4328
car	2	4749
car	2	4990
car	2	4231
car	2	4643
car	2	4121
van	2	4400
car	2	4119
truck	4	4695
car	2	4495
truck	4	4434
car	2	4299
van	2	4023
truck	4	4365
van	2	4582
car	2	4119
van	2	4416
car	2	4898
truck	4	4698
car	2	4416
car	2	4993
truck	4	4356
van	2	4504
car	2	4811
car	2	4574
car	2	4116
car	2	4049
car	2	4435
car	2	4272
car	2	4929
van	2	4531
car	2	4222
car	2	4657
truck	4	4481
truck	4	4145
truck	4	4813
van	2	4585
car	2	4924
truck	4	4584
van	2	4225
car	2	4719
car	2	4830
car	2	4073
truck	4	4954
van	2	4732
car	2	4155
van	2	4142
car	2	4737
car	2	4337
truck	4	4507
truck	4	4092
car	2	4269
car	2	4610
van	2	4980
car	2	4295
car	2	4412
car	2	4364
truck	4	4290
car	2	4264
truck	4	4412
truck	4	4712
truck	4	4603
truck	4	4180
car	2	4592
truck	4	4008
car	2	4083
car	2	4573
car	2	4642
car	2	4693
truck	4	4787
car	2	4989
truck	4	4803
car	2	4848
car	2	4377
car	2	4947
car	2	4439
car	2	4346
car	2	4718
truck	4	4049
car	2	4579
van	2	4985
truck	4	4356
car	2	4631
car	2	4898
car	2	4022
van	2	4586
car	2	4733
truck	4	4764
car	2	4466
car	2	4158
truck	4	4111
truck	4	4591
car	2	4015
car	2	4420
truck	4	4924
car	2	4501
car	2	4026
car	2	4280
car	2	4953
van	2	4923
car	2	4283
truck	4	4899
truck	4	4560
car	2	4037
car	2	4610
car	2	4775
truck	4	4414
car	2	4915
car	2	4618
car	2	4909
car	2	4497
car	2	4401
van	2	4284
car	2	4235
truck	4	4482
car	2	4981
car	2	4175
car	2	4188
car	2	4015
truck	4	4230
car	2	4686
car	2	4123
truck	4	4283
car	2	4016
truck	4	4504
car	2	4377
truck	4	4971
car	2	4031
truck	4	4965
car	2	4350
car	2	4232
car	2	4592
car	2	4760
truck	4	5002
car	2	4974
car	2	4361
car	2	4946
car	2	4314
car	2	4784
truck	4	4611
van	2	4515
car	2	4531
car	2	4070
car	2	4891
car	2	4325
car	2	4672
car	2	4147
truck	4	4049
car	2	4748
van	2	4654
car	2	4890
car	2	4972
car	2	4709
car	2	4788
truck	4	4306
car	2	4436
car	2	4039
truck	4	4612
car	2	4686
car	2	4314
car	2	4608
truck	4	4063
car	2	4944
truck	4	4246
car	2	4438
car	2	4234
car	2	4050
van	2	4721
car	2	4130
car	2	4852
truck	4	4575
car	2	4326
car	2	4694
car	2	4551
car	2	4775
truck	4	4146
van	2	4042
car	2	4904
truck	4	4556
car	2	4812
car	2	4742
van	2	4788
car	2	4830
car	2	4218
car	2	4754
van	2	4960
car	2	4090
car	2	4804
van	2	4617
car	2	4150
car	2	4086
van	2	4730
truck	4	4925
car	2	4629
truck	4	4286
truck	4	4617
car	2	4556
truck	4	4183
car	2	4089
car	2	4230
car	2	4615
car	2	4720
car	2	4905
van	2	4758
truck	4	5000
car	2	4360
truck	4	4746
car	2	4781
car	2	4706
van	2	4678
car	2	4125
truck	4	4229
car	2	4100
car	2	4812
car	2	4574
car	2	4902
truck	4	4938
car	2	4479
car	2	4191
car	2	4278
truck	4	4025
truck	4	4700
car	2	4145
truck	4	4894
car	2	4509
car	2	4827
truck	4	4620
car	2	4569
truck	4	4021
car	2	4838
car	2	4732
truck	4	4691
truck	4	4536
car	2	4898
truck	4	4267
van	2	4066
truck	4	4934
car	2	5010
car	2	4325
car	2	4887
car	2	4996
van	2	4974
car	2	4927
truck	4	4091
car	2	4105
car	2	4721
car	2	4908
car	2	4733
car	2	4730
truck	4	4491
car	2	4827
truck	4	4902
truck	4	4967
car	2	4355
car	2	4252
car	2	4669
car	2	4051
car	2	4139
car	2	4470
car	2	4517
car	2	4175
car	2	4995
car	2	4616
car	2	4124
car	2	4133
truck	4	4687
truck	4	4190
car	2	4670
truck	4	4368
van	2	4222
car	2	4184
car	2	4446
car	2	4042
van	2	4396
car	2	4855
car	2	5004
car	2	4243
car	2	4080
truck	4	4468
car	2	4121
truck	4	4799
car	2	4748
car	2	4693
car	2	4750
car	2	4165
car	2	4384
car	2	4929
car	2	4394
car	2	4931
van	2	4644
truck	4	4023
car	2	4534
car	2	4835
truck	4	4280
truck	4	4266
car	2	4540
car	2	5010
truck	4	4048
truck	4	4810
car	2	4147
car	2	4082
truck	4	4078
car	2	4695
car	2	4973
car	2	4699
truck	4	4136
car	2	4106
truck	4	4468
car	2	4134
truck	4	4422
car	2	4273
car	2	4892
car	2	4230
truck	4	4240
car	2	4342
car	2	4605
truck	4	4188
car	2	4001
car	2	4971
car	2	4456
car	2	4975
car	2	4643
car	2	4386
car	2	4671
truck	4	4785
car	2	4698
car	2	4167
car	2	4917
car	2	4409
truck	4	4007
car	2	5008
car	2	4574
truck	4	4712
car	2	4056
van	2	4610
car	2	4558
car	2	4589
car	2	4581
truck	4	4802
car	2	4722
car	2	4223
car	2	4576
car	2	4128
truck	4	4063
car	2	4475
car	2	4888
truck	4	4986
car	2	4172
truck	4	4374
truck	4	4027
van	2	4072
car	2	4067
car	2	4596
car	2	4729
car	2	4451
car	2	4419
car	2	4920
car	2	4991
van	2	4622
car	2	4642
car	2	4158
car	2	4392
van	2	4091
truck	4	4838
car	2	4328
car	2	4038
truck	4	4129
car	2	4478
car	2	4879
van	2	4924
car	2	4215
truck	4	4385
car	2	4585
truck	4	4060
truck	4	4839
car	2	4442
car	2	4183
car	2	4476
van	2	4753
car	2	4437
car	2	4418
car	2	4032
car	2	4835
van	2	4909
car	2	4036
truck	4	4096
car	2	4081
truck	4	4573
truck	4	4675
car	2	4480
car	2	4293
car	2	4749
van	2	4110
car	2	4569
car	2	4656
truck	4	4983
